component_id,stage,task_or_use,local_path_pattern,source_or_origin,processing_status,release_status,notes
demo_rxnpred_tiny,release_demo,Software checklist demo,demo/rxnpred_tiny,Hand-authored tiny reaction prediction sample,bundled in repo,ready,"Used for README demo and software checklist package"
rxnpred_uspto_480k_clean,rl,Reaction prediction,"${MIST_DATA_DIR}/rxnpred/USPTO_480k_clean",USPTO 480k reaction prediction data,derived task dataset,planned,"Confirm exact preprocessing script and upstream citation"
rxnpred_reasoning_traces_10k,rl,Reaction prediction reasoning trace generation,TBD,First 10k reactions from cleaned USPTO-480K training split,needs export,planned,"Mentioned in appendix as reasoning-trace subset"
rxnpred_rlvf_50k,rl,Reaction prediction RLVF subset,TBD,Random 50k reactions from remaining USPTO-480K training split,needs export,planned,"Document selection seed and split script"
rxnpred_benchmark_500,benchmark,Reaction prediction benchmark,TBD,Random 500 reactions from cleaned USPTO-480K test split,needs export,planned,"Document benchmark sampling seed"
pubchem_compounds1m,rl,IUPAC to SMILES / canonicalization,"${MIST_DATA_DIR}/CRLLM-PubChem-compounds1M.csv",CRLLM PubChem compounds export,derived task dataset,planned,"Confirm generation script and license terms"
pubchem_compounds1m_simple,rl,IUPAC to SMILES with tags,"${MIST_DATA_DIR}/CRLLM-PubChem-compounds1M-simple.csv",Simplified subset of CRLLM PubChem compounds,derived task dataset,planned,"Document filtering rule for simple subset"
pubchem_compounds1m_very_simple,rl,SMILES permutation,"${MIST_DATA_DIR}/CRLLM-PubChem-compounds1M-very_very_simple.csv",Highly filtered subset of CRLLM PubChem compounds,derived task dataset,planned,"Document very_very_simple construction"
pubchem_compounds1m_hydrogen,rl,SMILES hydrogen task,"${MIST_DATA_DIR}/CRLLM-PubChem-compounds1M_hydrogen.csv",Hydrogen-expanded derivative of CRLLM PubChem compounds,derived task dataset,planned,"Document add/remove hydrogen preprocessing"
pubchem_processed_cid_1_to_3m,midtraining,PubChem processing pipeline base dump,TBD,PubChem PUG REST export from CID 1 to 3000000,needs manifest,planned,"Release preprocessing script and manifest; avoid mirroring raw upstream dump if unnecessary"
pubchem_split_pretrain_cid_1_to_1m,midtraining,MiST pretraining PubChem split,TBD,Processed PubChem compounds CID 1 to 1000000,needs export,planned,"Appendix says this split is used for pretraining"
pubchem_split_grpo_cid_1000001_to_2m,rl,I2S base split,TBD,Processed PubChem compounds CID 1000001 to 2000000,needs export,planned,"Appendix says this split is used for GRPO training"
pubchem_split_benchmark_cid_2000001_to_3m,benchmark,I2S benchmark split,TBD,Processed PubChem compounds CID 2000001 to 3000000,needs export,planned,"Appendix says this split is used as benchmark"
rxnaming_uspto1m_balanced_600k,rl,Reaction naming,TBD,USPTO 1M with Rxn-Insight class generation,needs export,planned,"Document class-balancing script and exact output schema"
rxreplacement_uspto1m_enamine50k,rl,Reaction replacement,TBD,USPTO 1M with Enamine50k similarity-based corruption,needs export,planned,"Need corruption script, Enamine source metadata, and split details"
rxinversion_uspto1m,rl,Reaction inversion,TBD,USPTO 1M with reagent/product inversion,needs export,planned,"Document task-construction script and split rules"
rxtf_from_rxreplacement,rl,Reaction true/false,TBD,Derived from reaction replacement dataset,needs export,planned,"Document derivation rule from RxR examples"
kinetic_m1_m20,rl,Kinetic mechanism classification,"${MIST_DATA_DIR}/kinetic",M1-M20 kinetic mechanism dataset,task dataset,planned,"Add upstream DOI and exact file provenance"
ceb_perovskite_1500,rl,Chemical formula balancing,TBD,Perovskite Dataset selected formulas with masking augmentation,needs export,planned,"Appendix cites Jacobsson2022FAIR; capture masking script and terms"
cmg_materials_project_1000,rl,Conditional material generation,TBD,Materials Project subset with constituent-element prompts,needs export,planned,"Capture query criteria, MP ids, and release terms"
crr_materials_project_2000,rl,Binary compound structure relaxation,TBD,Materials Project binary structures with perturbations,needs export,planned,"Capture perturbation script, MP ids, and release terms"
scs_pubchem_10000_valid_corrupted,benchmark,SCS diagnostic,TBD,10000 PubChem molecules with corruption process,needs export,planned,"Needed if SCS benchmark data will be released"
ccs_smolinstruct_robocrystallographer,benchmark,CCS diagnostic,TBD,SMolInstruct molecule descriptions and Robocrystallographer statements with corruption process,needs manifest,planned,"Release manifests and corruption script if raw text redistribution is constrained"
mist_pretrain_chemrxiv_s2orc_manifest,midtraining,MiST pretraining mixture,TBD,ChemRxiv plus S2ORC chemistry subset,needs manifest,planned,"Prefer manifest plus preprocessing scripts over raw corpus mirror"
mist_pretrain_fineweb_q4_q6_manifest,midtraining,MiST pretraining mixture,TBD,FineWeb chemistry-filtered Q4 to Q6 subset,needs manifest,planned,"Need filter script, threshold settings, and record manifest"
mist_pretrain_pubchem_synthetic,midtraining,MiST pretraining mixture,TBD,PubChem synthetic text/SMILES data,needs export,planned,"Need generation script and released artifact decision"
mist_pretrain_synthetic_reactions,midtraining,MiST pretraining mixture,TBD,Synthetic reaction corpus,needs export,planned,"Need generation script and artifact format"
mist_pretrain_commoncrawl_replay_manifest,midtraining,MiST pretraining mixture,TBD,CommonCrawl replay subset used in MiST,needs manifest,planned,"Release manifest and retrieval instructions if raw data is too large"
mist_midtraining_corpus,midtraining,Continued pretraining,TBD,MiST midtraining data mixture,to document,planned,"Fill in component-level corpus breakdown and licenses"
mist_sft_deepseek_rxn_traces,midtraining,MiST supervised fine-tuning,TBD,DeepSeek-derived reaction traces,needs export,planned,"Need export and licensing/provenance review"
mist_sft_smolinstruct_mix,midtraining,MiST supervised fine-tuning,TBD,SmolInstruct subsets for I2S S2I captioning and generation,needs manifest,planned,"Need exact subset list and split rules"
mist_sft_mptrj_mix,midtraining,MiST supervised fine-tuning,TBD,MPtrj subsets for structure-to-energy and initial-to-relaxed structure tasks,needs manifest,planned,"Mentioned in appendix prose for inorganic SFT data"
mist_sft_mmlu_mix,midtraining,MiST supervised fine-tuning,TBD,MMLU general and chemistry samples,needs export,planned,"Need exact sample list and formatting script"
mist_sft_chain_of_thought,midtraining,MiST supervised fine-tuning,TBD,Chain-of-thought mixture,needs export,planned,"Need source list and release decision"
mist_sft_corpus,midtraining,Supervised fine-tuning,TBD,MiST supervised fine-tuning mixture,to document,planned,"Fill in dataset list, scripts, and split rules"
